ratio,gcf_dome,gcf_anticline_2,gcf_anticline_5,gcf_anticline_10,gcf_flat_dome,gcf_flat_anticline_2,gcf_flat_anticline_5,gcf_flat_anticline_10,gcf_block
0.29,0.74875,0.80558,0.83029,0.855,0.8865,0.9135,0.92675,0.955,1.0
0.28,0.7575,0.81246,0.83623,0.86,0.8905,0.917,0.92975,0.957,1.0
0.27,0.76625,0.81934,0.84217,0.865,0.8945,0.9205,0.93275,0.959,1.0
0.26,0.775,0.82622,0.84811,0.87,0.8985,0.924,0.93575,0.961,1.0
0.25,0.78375,0.8331,0.85405,0.875,0.9025,0.9275,0.93875,0.963,1.0
0.24,0.7925,0.83998,0.85999,0.88,0.9065,0.931,0.94175,0.965,1.0
0.23,0.80125,0.84686,0.86593,0.885,0.9105,0.9345,0.94475,0.967,1.0
0.22,0.81,0.85374,0.87187,0.89,0.9145,0.938,0.94775,0.969,1.0
0.21,0.81875,0.86062,0.87781,0.895,0.9185,0.9415,0.95075,0.971,1.0
0.2,0.8275,0.8675,0.88375,0.9,0.9225,0.945,0.95375,0.973,1.0
0.19,0.83675,0.87425,0.889625,0.905,0.92675,0.948,0.956375,0.97675,1.0
0.18,0.846,0.881,0.8955,0.91,0.931,0.951,0.959,0.9785,1.0
0.17,0.85525,0.88775,0.901375,0.915,0.93525,0.954,0.961625,0.98025,1.0
0.16,0.8645,0.8945,0.90725,0.92,0.9395,0.957,0.96425,0.982,1.0
0.15,0.87375,0.90125,0.913125,0.925,0.94375,0.96,0.966875,0.98375,1.0
0.14,0.883,0.908,0.919,0.93,0.948,0.963,0.9695,0.9855,1.0
0.13,0.89225,0.91475,0.924875,0.935,0.95225,0.966,0.972125,0.98725,1.0
0.12,0.9015,0.9215,0.93075,0.94,0.9565,0.969,0.97475,0.989,1.0
0.11,0.91075,0.92825,0.936625,0.945,0.96075,0.972,0.977375,0.99075,1.0
0.1,0.92,0.935,0.9425,0.95,0.965,0.975,0.98,0.9925,1.0
0.09,0.928,0.9415,0.94825,0.955,0.9685,0.9775,0.982,0.99375,1.0
0.08,0.936,0.948,0.954,0.96,0.972,0.98,0.984,0.995,1.0
0.07,0.944,0.9545,0.95975,0.965,0.9755,0.9825,0.986,0.99625,1.0
0.06,0.952,0.961,0.9655,0.97,0.979,0.985,0.988,0.9975,1.0
0.05,0.96,0.9675,0.97125,0.975,0.9825,0.9875,0.99,0.99875,1.0
0.04,0.968,0.974,0.977,0.98,0.986,0.99,0.992,1.0,1.0
0.03,0.976,0.9805,0.98275,0.985,0.9895,0.9925,0.994,1.0,1.0
0.02,0.984,0.987,0.9885,0.99,0.993,0.995,0.996,1.0,1.0
0.01,0.992,0.9935,0.99425,0.995,0.9965,0.9975,0.998,1.0,1.0
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0

